,Year,Month,ENSO3.4_anomaly
0,1996,10.0,26.27
1,1997,10.0,29.08
2,1998,10.0,25.25
3,1999,10.0,25.48
4,2000,10.0,26.02
5,2001,10.0,26.57
6,2002,10.0,27.96
7,2003,10.0,27.14
8,2004,10.0,27.44
9,2005,10.0,26.65
10,2006,10.0,27.41
11,2007,10.0,25.32
12,2008,10.0,26.37
13,2009,10.0,27.6
14,2010,10.0,25.03
15,2011,10.0,25.67
16,2012,10.0,26.98
17,2013,10.0,26.52
18,2014,10.0,27.16
19,2015,10.0,29.08
20,2016,10.0,25.98
21,2017,10.0,26.15
22,2018,10.0,27.62
23,2019,10.0,27.2
24,2020,10.0,25.46
25,1996,11.0,26.29
26,1997,11.0,29.12
27,1998,11.0,25.24
28,1999,11.0,25.12
29,2000,11.0,25.92
30,2001,11.0,26.33
31,2002,11.0,28.17
32,2003,11.0,27.04
33,2004,11.0,27.36
34,2005,11.0,26.11
35,2006,11.0,27.69
36,2007,11.0,25.17
37,2008,11.0,26.25
38,2009,11.0,28.16
39,2010,11.0,25.06
40,2011,11.0,25.52
41,2012,11.0,26.86
42,2013,11.0,26.56
43,2014,11.0,27.46
44,2015,11.0,29.42
45,2016,11.0,25.94
46,2017,11.0,25.74
47,2018,11.0,27.61
48,2019,11.0,27.22
49,2020,11.0,25.28
50,1996,12.0,25.95
51,1997,12.0,28.89
52,1998,12.0,24.91
53,1999,12.0,24.86
54,2000,12.0,25.68
55,2001,12.0,26.19
56,2002,12.0,27.97
57,2003,12.0,27.03
58,2004,12.0,27.34
59,2005,12.0,25.68
60,2006,12.0,27.74
61,2007,12.0,25.01
62,2008,12.0,25.74
63,2009,12.0,28.34
64,2010,12.0,25.0
65,2011,12.0,25.54
66,2012,12.0,26.34
67,2013,12.0,26.43
68,2014,12.0,27.31
69,2015,12.0,29.26
70,2016,12.0,26.1
71,2017,12.0,25.62
72,2018,12.0,27.49
73,2019,12.0,27.12
74,2020,12.0,25.44
75,1996,1.0,26.01
76,1997,1.0,28.93
77,1998,1.0,24.86
78,1999,1.0,24.78
79,2000,1.0,25.81
80,2001,1.0,26.39
81,2002,1.0,27.15
82,2003,1.0,26.81
83,2004,1.0,27.21
84,2005,1.0,25.63
85,2006,1.0,27.24
86,2007,1.0,24.86
87,2008,1.0,25.66
88,2009,1.0,28.07
89,2010,1.0,25.0
90,2011,1.0,25.67
91,2012,1.0,26.01
92,2013,1.0,26.05
93,2014,1.0,27.05
94,2015,1.0,29.11
95,2016,1.0,26.12
96,2017,1.0,25.57
97,2018,1.0,27.19
98,2019,1.0,27.15
99,2020,1.0,
100,1996,2.0,26.38
101,1997,2.0,28.78
102,1998,2.0,25.43
103,1999,2.0,25.21
104,2000,2.0,26.12
105,2001,2.0,26.71
106,2002,2.0,27.39
107,2003,2.0,26.98
108,2004,2.0,27.11
109,2005,2.0,26.08
110,2006,2.0,26.88
111,2007,2.0,25.08
112,2008,2.0,25.96
113,2009,2.0,28.01
114,2010,2.0,25.64
115,2011,2.0,26.08
116,2012,2.0,26.24
117,2013,2.0,26.14
118,2014,2.0,27.17
119,2015,2.0,29.01
120,2016,2.0,26.67
121,2017,2.0,25.97
122,2018,2.0,27.46
123,2019,2.0,27.12
124,2020,2.0,
125,1996,3.0,27.04
126,1997,3.0,28.62
127,1998,3.0,26.33
128,1999,3.0,26.3
129,2000,3.0,26.8
130,2001,3.0,27.29
131,2002,3.0,27.65
132,2003,3.0,27.4
133,2004,3.0,27.73
134,2005,3.0,26.57
135,2006,3.0,27.1
136,2007,3.0,26.07
137,2008,3.0,26.59
138,2009,3.0,28.18
139,2010,3.0,26.36
140,2011,3.0,26.67
141,2012,3.0,27.03
142,2013,3.0,27.0
143,2014,3.0,27.75
144,2015,3.0,28.9
145,2016,3.0,27.32
146,2017,3.0,26.48
147,2018,3.0,28.09
148,2019,3.0,27.76
149,2020,3.0,
150,1996,4.0,27.98
151,1997,4.0,28.6
152,1998,4.0,26.7
153,1999,4.0,26.95
154,2000,4.0,27.33
155,2001,4.0,27.84
156,2002,4.0,27.68
157,2003,4.0,27.89
158,2004,4.0,28.08
159,2005,4.0,27.5
160,2006,4.0,27.5
161,2007,4.0,26.83
162,2008,4.0,27.47
163,2009,4.0,28.2
164,2010,4.0,27.05
165,2011,4.0,27.32
166,2012,4.0,27.57
167,2013,4.0,27.9
168,2014,4.0,28.52
169,2015,4.0,28.72
170,2016,4.0,28.03
171,2017,4.0,27.31
172,2018,4.0,28.44
173,2019,4.0,28.18
174,2020,4.0,
175,1996,5.0,28.58
176,1997,5.0,28.51
177,1998,5.0,26.79
178,1999,5.0,27.07
179,2000,5.0,27.6
180,2001,5.0,28.24
181,2002,5.0,27.32
182,2003,5.0,28.0
183,2004,5.0,28.24
184,2005,5.0,27.85
185,2006,5.0,27.46
186,2007,5.0,27.09
187,2008,5.0,27.99
188,2009,5.0,27.71
189,2010,5.0,27.41
190,2011,5.0,27.61
191,2012,5.0,27.53
192,2013,5.0,28.25
193,2014,5.0,28.85
194,2015,5.0,28.23
195,2016,5.0,28.3
196,2017,5.0,27.73
197,2018,5.0,28.48
198,2019,5.0,27.66
199,2020,5.0,
200,1996,6.0,28.82
201,1997,6.0,27.34
202,1998,6.0,26.53
203,1999,6.0,26.94
204,2000,6.0,27.54
205,2001,6.0,28.44
206,2002,6.0,27.44
207,2003,6.0,27.86
208,2004,6.0,27.77
209,2005,6.0,27.73
210,2006,6.0,27.37
211,2007,6.0,27.04
212,2008,6.0,28.04
213,2009,6.0,27.04
214,2010,6.0,27.35
215,2011,6.0,27.75
216,2012,6.0,27.3
217,2013,6.0,27.96
218,2014,6.0,28.9
219,2015,6.0,27.69
220,2016,6.0,28.06
221,2017,6.0,27.77
222,2018,6.0,28.18
223,2019,6.0,27.39
224,2020,6.0,
225,1996,7.0,28.86
226,1997,7.0,26.3
227,1998,7.0,26.13
228,1999,7.0,26.63
229,2000,7.0,27.25
230,2001,7.0,28.03
231,2002,7.0,27.5
232,2003,7.0,27.78
233,2004,7.0,27.06
234,2005,7.0,27.3
235,2006,7.0,26.71
236,2007,7.0,26.99
237,2008,7.0,27.78
238,2009,7.0,26.22
239,2010,7.0,26.87
240,2011,7.0,27.54
241,2012,7.0,26.91
242,2013,7.0,27.23
243,2014,7.0,28.75
244,2015,7.0,26.82
245,2016,7.0,27.54
246,2017,7.0,27.42
247,2018,7.0,27.64
248,2019,7.0,26.99
249,2020,7.0,
250,1996,8.0,28.75
251,1997,8.0,25.57
252,1998,8.0,25.63
253,1999,8.0,26.37
254,2000,8.0,26.8
255,2001,8.0,27.72
256,2002,8.0,27.11
257,2003,8.0,27.62
258,2004,8.0,26.8
259,2005,8.0,27.16
260,2006,8.0,26.14
261,2007,8.0,26.72
262,2008,8.0,27.42
263,2009,8.0,25.47
264,2010,8.0,26.21
265,2011,8.0,27.32
266,2012,8.0,26.47
267,2013,8.0,26.82
268,2014,8.0,28.79
269,2015,8.0,26.28
270,2016,8.0,26.7
271,2017,8.0,26.94
272,2018,8.0,26.9
273,2019,8.0,26.26
274,2020,8.0,
275,1996,9.0,28.85
276,1997,9.0,25.46
277,1998,9.0,25.63
278,1999,9.0,26.2
279,2000,9.0,26.52
280,2001,9.0,27.81
281,2002,9.0,26.99
282,2003,9.0,27.53
283,2004,9.0,26.68
284,2005,9.0,27.32
285,2006,9.0,25.61
286,2007,9.0,26.47
287,2008,9.0,27.4
288,2009,9.0,25.12
289,2010,9.0,25.92
290,2011,9.0,27.1
291,2012,9.0,26.54
292,2013,9.0,27.01
293,2014,9.0,28.93
294,2015,9.0,26.14
295,2016,9.0,26.29
296,2017,9.0,27.19
297,2018,9.0,26.75
298,2019,9.0,25.89
299,2020,9.0,
